index,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
A Nightmare on Elm Street 3: Dream Warriors,New Nightmare,Freddy vs. Jason,A Nightmare on Elm Street Part 2: Freddy's Revenge,A Nightmare on Elm Street 4: The Dream Master,A Nightmare on Elm Street 5: The Dream Child,Freddy Got Fingered,A Nightmare on Elm Street,Freddy's Dead: The Final Nightmare,Cop Land,The Devil's Tomb
Paranormal Activity 4,The White Ribbon,Abandon,Troll Hunter,The Others,"For a Good Time, Call...",The Frozen,Ask Me Anything,After,The Sound and the Shadow,The Exorcist
The Robe,The Young Messiah,The Last Temptation of Christ,Son of God,The Visual Bible: The Gospel of John,Risen,The Nativity Story,The Passion of the Christ,God's Not Dead 2,The R.M.,The Man
The Return of the Pink Panther,The Pink Panther,Delivery Man,True Lies,From Hell,The Barbarians,Larry the Cable Guy: Health Inspector,Identity Thief,The Illusionist,The Phantom of the Opera,Taken 3
Freddy's Dead: The Final Nightmare,A Nightmare on Elm Street Part 2: Freddy's Revenge,Freddy vs. Jason,A Nightmare on Elm Street 4: The Dream Master,A Nightmare on Elm Street 3: Dream Warriors,A Nightmare on Elm Street 5: The Dream Child,Khiladi 786,The Kentucky Fried Movie,A Nightmare on Elm Street,The Robe,Silent Hill: Revelation 3D
Monster,Copycat,Eye of the Beholder,The Howling,Child's Play 2,The Cell,Switchback,Child's Play,2:13,Saw,Blood Work
"20,000 Leagues Under the Sea",The Kingdom,The Interpreter,Event Horizon,Poseidon,Solaris,Octopussy,K-19: The Widowmaker,2001: A Space Odyssey,"Surfer, Dude",Buffalo Soldiers
Paranormal Activity: The Marked Ones,Trees Lounge,Percy Jackson: Sea of Monsters,Yoga Hosers,Bowling for Columbine,The Devil's Tomb,Beer League,Airborne,Fetching Cody,Bad Grandpa,"For a Good Time, Call..."
The Elephant Man,The Haunting in Connecticut 2: Ghosts of Georgia,The 33,Find Me Guilty,Iguana,Hachi: A Dog's Tale,Coach Carter,Casino Jack,The Perfect Game,An American Haunting,City By The Sea
Dallas Buyers Club,Redacted,An American Haunting,The 33,The Secret Life of Walter Mitty,300,Stories of Our Lives,Nacho Libre,Find Me Guilty,Coffee Town,13 Going on 30
The Lazarus Effect,The Back-Up Plan,The Naked Gun 33⅓: The Final Insult,Charly,Hot Rod,Breaking Upwards,Everybody's Fine,The Adventures of Elmo in Grouchland,Colombiana,Breakin' All the Rules,The Transporter Refueled
Memento,Paycheck,50 First Dates,Amnesiac,Rebecca,Gothika,The Majestic,Blonde Ambition,Eternal Sunshine of the Spotless Mind,Wild Grass,The Charge of the Light Brigade
Oculus,Double Jeopardy,White Noise,Harry Brown,Minority Report,Circumstance,Brother,Get Carter,Femme Fatale,Mi America,The Trials Of Darryl Hunt
Clerks II,Super Size Me,The Soloist,Wolf,Harold & Kumar Go to White Castle,Home Fries,Gone in Sixty Seconds,Compliance,"Food, Inc.",Spy Kids 3-D: Game Over,Dogtown and Z-Boys
Billy Elliot,Evolution,Somewhere,Growing Up Smith,The Indian in the Cupboard,Carnage,Pete's Dragon,The Inkwell,The Iron Giant,Little Boy,Bad Grandpa
The Way Way Back,Adventureland,The Exploding Girl,The Internship,Diary of a Wimpy Kid: Dog Days,Thumbsucker,Horse Camp,Jurassic World,Not Cool,The Nut Job,Jurassic Park
House Party 2,Here On Earth,The Producers,Midnight Cabaret,Mo' Better Blues,Ishtar,"Synecdoche, New York",Crazy Heart,Impact Point,Zoolander 2,F.I.S.T.
The Man from Snowy River,American Wedding,The Rookie,Supercross,Extremely Loud & Incredibly Close,Step Up Revolution,Casa De Mi Padre,The Crime of Padre Amaro,Babe: Pig in the City,Battle of the Year,The Beastmaster
Doug's 1st Movie,A Monster in Paris,Shin Godzilla,My Name Is Bruce,Dying of the Light,Boogeyman,Multiplicity,Bedtime Stories,Hulk,The Curse of the Were-Rabbit,Spirited Away
The Apostle,The Texas Chainsaw Massacre 2,The Last Time I Committed Suicide,Hidden Away,Sexy Beast,Post Grad,The Yellow Handkerchief,"Happy, Texas",The Beyond,Little Nicholas,At First Sight
Mommie Dearest,The Last Time I Committed Suicide,The Runaways,The Big Tease,Another Year,Running with Scissors,Scary Movie 5,Hollywood Shuffle,Happy Gilmore,Moulin Rouge!,Auto Focus
Our Idiot Brother,Brother,The Blues Brothers,Tae Guk Gi: The Brotherhood of War,He's Just Not That Into You,Me and You and Everyone We Know,The Dirties,Oculus,Circumstance,The True Story of Puss 'n Boots,Babe: Pig in the City
Race,The Express,Concussion,Captain America: The First Avenger,Chariots of Fire,Downfall,Find Me Guilty,Valkyrie,Hachi: A Dog's Tale,I Dreamed of Africa,Big Miracle
The Players Club,The Life Before Her Eyes,Bizarre,Good Deeds,Exotica,High School Musical 2,Idlewild,Child's Play,The Queen,Outside Bet,He Got Game
"As Above, So Below",Death at a Funeral,Safe Haven,The Hunchback of Notre Dame,"Run, Hide, Die",Land of the Dead,Prometheus,Insidious: Chapter 2,The Fog,Beneath Hill 60,Forget Me Not
Addicted,Anna Karenina,The House of Mirth,Eddie: The Sleepwalking Cannibal,The Dictator,Girl with a Pearl Earring,A Guy Thing,Headhunters,The Unborn,Vicky Cristina Barcelona,21 & Over
Eve's Bayou,The Extra Man,Tadpole,Before I Go to Sleep,The Man in the Iron Mask,Pet Sematary,Fear Clinic,Not Easily Broken,Unbroken,Dragonfly,Snow Flower and the Secret Fan
Still Alice,This Christmas,Alice Through the Looking Glass,Lake Mungo,Straightheads,A Nightmare on Elm Street 5: The Dream Child,Resident Evil: Afterlife,You Can't Take It With You,A Nightmare on Elm Street 4: The Dream Master,Love the Coopers,Resident Evil: Retribution
The Egyptian,The Assassin,Jupiter Ascending,The Outsiders,Curse of the Golden Flower,Bodyguards and Assassins,The Warlords,Election,The Duchess,Gods of Egypt,Hero
Nighthawks,The Siege,The Algerian,Cotton Comes to Harlem,Supporting Characters,Survivor,Annie Hall,Laws of Attraction,Bella,Brooklyn,"Synecdoche, New York"
Friday the 13th Part VIII: Jason Takes Manhattan,Friday the 13th Part VI: Jason Lives,Laws of Attraction,Big Fat Liar,Jason Goes to Hell: The Final Friday,Friday the 13th: The Final Chapter,Mutual Friends,The Ultimate Gift,How to Be Single,Friday the 13th: A New Beginning,Dirty Grandpa
My Big Fat Greek Wedding,Captain Corelli's Mandolin,My Life in Ruins,The Boy Next Door,Sydney White,Mary Reilly,Maurice,Shallow Hal,My Big Fat Greek Wedding 2,Mambo Italiano,Say It Isn't So
Spring Breakers,The Real Cancun,Girls Gone Dead,Reno 911!: Miami,The Hundred-Foot Journey,Jeepers Creepers,Here On Earth,Dear John,Seven Psychopaths,Pitch Perfect,Piranha 3D
Halloween: The Curse of Michael Myers,Halloween 4: The Return of Michael Myers,Halloween 5: The Revenge of Michael Myers,Halloween: Resurrection,A Walk to Remember,The Wraith,Halloween II,Love & Other Drugs,Friends with Benefits,Held Up,The Blind Side
Shaun of the Dead,Anomalisa,Midnight in the Garden of Good and Evil,The Lucky Ones,"Mystery, Alaska",Wild Target,"Synecdoche, New York",Coffee Town,Survival of the Dead,ATL,Hesher
The Haunting of Molly Hartley,Pokémon: Spell of the Unknown,She's Out of My League,Silent Hill: Revelation 3D,The Innkeepers,Underclassman,American Beast,That's My Boy,Molly,Child's Play,Yesterday Was a Lie
Lone Star,Blazing Saddles,State of Play,Mr. Deeds,The Last Stand,I Am Sam,Eight Legged Freaks,Cape Fear,Jimmy and Judy,"Dancer, Texas Pop. 81",Ghost
Halloween 4: The Return of Michael Myers,Halloween: The Curse of Michael Myers,Halloween 5: The Revenge of Michael Myers,Halloween: Resurrection,Held Up,The Blind Side,The Wraith,A Walk to Remember,The Stepfather,The Rite,My Best Friend's Wedding
April Fool's Day,Dysfunctional Friends,Truth or Dare,8 Women,Casper,The Gallows,The Best Man Holiday,Frat Party,Legend of the Guardians: The Owls of Ga'Hoole,Thunderbirds,Pandorum
Diner,A History of Violence,A Cinderella Story,Deterrence,L.A. Confidential,Remember the Titans,Criminal Activities,My Baby's Daddy,Legion,We're No Angels,Mallrats
Lone Wolf McQuade,The Last Dragon,Kung Fu Jungle,DOA: Dead or Alive,Street Fighter,Man of the House,Bloodsport,Here Comes the Boom,The Raid,A Walk Among the Tombstones,The Legend of the Lone Ranger
Apollo 18,Sunshine,The Adventures of Pluto Nash,Semi-Pro,Avatar,Red Planet,Event Horizon,Apollo 13,In the Shadow of the Moon,Moon,Idle Hands
Sunshine Cleaning,CJ7,Underclassman,Child's Play,Riding in Cars with Boys,Cheri,Trainspotting,Ed and His Dead Mother,Good Deeds,Rabbit Hole,Big Momma's House
No Escape,Escape from Planet Earth,Misconduct,Live and Let Die,Cars 2,The Living Daylights,Lady in White,The Butterfly Effect,The Hunchback of Notre Dame,Selena,Quigley Down Under
The Beastmaster,The Expendables 2,Law Abiding Citizen,Four Brothers,Extremely Loud & Incredibly Close,Bad Words,The Orphanage,Your Highness,The Specialist,The Man from Snowy River,Doctor Dolittle
Solomon and Sheba,12 Years a Slave,Red Riding Hood,Jumper,Bridge to Terabithia,Ironclad,A.I. Artificial Intelligence,Censored Voices,Shrek the Third,The Legend of Hercules,House at the End of the Drive
Fifty Shades of Black,Like Crazy,Vaalu,The House of the Devil,Loser,Born Of War,Down to Earth,Runner Runner,Hayride,Fifty Shades of Grey,Pitch Perfect
Not Easily Broken,The Story of Us,The Majestic,The Vow,Babel,Shutter,Premonition,Orphan,Unknown,A Separation,Pink Flamingos
A Farewell to Arms,Fiddler on the Roof,In & Out,Battle of the Year,Never Again,The Great Raid,The Land Girls,No Strings Attached,Waterloo,Heartbeeps,Saints and Soldiers
The Perfect Match,The Young Unknowns,Rain Man,Good Luck Chuck,From Paris with Love,Hit & Run,Charlie Bartlett,Urbania,Lies in Plain Sight,Real Steel,Charlie St. Cloud
Digimon: The Movie,Eragon,Rapa Nui,Containment,"Dude, Where’s My Car?",Barney's Great Adventure,Octopussy,Training Day,A Guy Thing,The Dirties,The I Inside
Saved!,Fifty Shades of Grey,Salvation Boulevard,Latter Days,The Women,Red State,To Save A Life,Dumb and Dumber,The Betrayed,The Witch,The Spectacular Now
Robin and Marian,Robin Hood: Prince of Thieves,Rob Roy,Time Bandits,Robin Hood,Celebrity,Shalako,George and the Dragon,How to Be Single,Goldfinger,Six Days Seven Nights
The Forsaken,Resident Evil: Apocalypse,Contagion,28 Days Later,Antiviral,Blade,Bled,Osmosis Jones,Ong Bak 2,Teeth and Blood,BloodRayne
Force 10 from Navarone,Lone Survivor,Thr3e,Code of Honor,The Incredible Hulk,Sunshine,"Yours, Mine and Ours",xXx,Metallica: Through the Never,Haywire,Apollo 18
UHF,We Own the Night,Videodrome,The Immigrant,Lucky Numbers,Fight Club,The Social Network,Small Soldiers,Holy Man,Owning Mahowny,Anchorman 2: The Legend Continues
Grandma's Boy,Pixels,Wreck-It Ralph,Beer League,Indie Game: The Movie,The FP,Wing Commander,Gamer,Casino Royale,We Are Your Friends,Mortal Kombat: Annihilation
Slums of Beverly Hills,Troop Beverly Hills,Intolerable Cruelty,The Lincoln Lawyer,Paranormal Activity,Beverly Hills Chihuahua,Welcome to the Dollhouse,Serial Mom,Clueless,The Wood,Beverly Hills Cop
Made,The Infiltrator,Blood Ties,The Constant Gardener,The Way of the Gun,Easy Money,The International,Renaissance,Brazil,The Black Dahlia,The Jerky Boys
Moon,Apollo 18,I Am Sam,The Hudsucker Proxy,The Adventures of Pluto Nash,Out of the Dark,Killers,Hackers,Spawn,Ghost,Semi-Pro
Keeping Up with the Steins,Madea's Family Reunion,The Cottage,An Education,The Naked Ape,Tanner Hall,Eulogy,Nomad: The Warrior,The Inkwell,Jurassic Park III,Welcome Home Roscoe Jenkins
Sea Rex 3D: Journey to a Prehistoric World,Walking With Dinosaurs,Space Pirate Captain Harlock,Julie & Julia,Land of the Lost,Ice Age: Continental Drift,VeggieTales: The Pirates Who Don't Do Anything,Triangle,The Hole,The Incredible Hulk,Runner Runner
The Sweet Hereafter,Unbreakable,Margaret,Michael Clayton,Footloose,Song One,ATL,Mr. Deeds,Out Cold,Get on the Bus,Cedar Rapids
Bottle Shock,The Island of Dr. Moreau,Sideways,Magnolia,The Cable Guy,Frat Party,Ratatouille,Fight Valley,Kiss of the Dragon,Midnight in Paris,Blended
Jekyll and Hyde ... Together Again,The Client,Spellbound,Sideways,Blue Like Jazz,Ramanujan,Wild Wild West,Mary Reilly,Evil Words,High Anxiety,Rise of the Entrepreneur: The Search for a Better Way
Heavenly Creatures,Find Me Guilty,The 33,Hachi: A Dog's Tale,The Haunting in Connecticut 2: Ghosts of Georgia,Coach Carter,The Perfect Game,Casino Jack,Kill the Messenger,The Blue Butterfly,Dead Man Walking
90 Minutes in Heaven,Pirates of the Caribbean: At World's End,"It's a Mad, Mad, Mad, Mad World",The Animal,Without Limits,Soul Survivors,The Final Destination,The Dead Zone,The 5th Quarter,Amores perros,Fantasia
Everything Must Go,Wild,The Day After Tomorrow,P.S. I Love You,The Possession,The Wind That Shakes the Barley,Bad Teacher,Losin' It,You Kill Me,Titan A.E.,The Andromeda Strain
Zero Effect,A Walk Among the Tombstones,The Crocodile Hunter: Collision Course,Alone in the Dark,Zookeeper,Shadow Conspiracy,World's Greatest Dad,Family Plot,The Omen,Minority Report,Vampire in Brooklyn
The Machinist,Pay It Forward,Felicia's Journey,Anomalisa,The House of Mirth,When Did You Last See Your Father?,The Dictator,Middle of Nowhere,Headhunters,Dickie Roberts: Former Child Star,Angel Eyes
Light Sleeper,On the Outs,Get Rich or Die Tryin',Super,The Rules of Attraction,The French Connection,Ride Along 2,Enter the Void,Killer Joe,The Wackness,Scarface
Kill the Messenger,Find Me Guilty,The 33,Hachi: A Dog's Tale,The Haunting in Connecticut 2: Ghosts of Georgia,Coach Carter,The Perfect Game,Casino Jack,Blood Done Sign My Name,Heavenly Creatures,Body of Lies
Rabbit Hole,Desire,A Walk on the Moon,Cheap Thrills,Birthday Girl,Griff the Invisible,Stop-Loss,Raising Helen,The Next Three Days,Bella,The Big Wedding
Party Monster,Ladder 49,Eye of the Dolphin,Idlewild,Bizarre,Exotica,The Assassination of Jesse James by the Coward Robert Ford,Song One,Outside Bet,Counting,Get Hard
Green Room,Hedwig and the Angry Inch,Repo Man,Down & Out With The Dolls,Almost Famous,The Doors,Rock Star,Amores perros,Roar,Blindness,Wicked Blood
The Oh in Ohio,Scoop,Firewall,Highway,Henry & Me,"Sex, Lies, and Videotape",Extreme Movie,Below Zero,The Crime of Padre Amaro,The Lake House,A Thousand Words
Atlas Shrugged Part III: Who is John Galt?,White House Down,Stake Land,The Last Airbender,Die Hard 2,Jack Ryan: Shadow Recruit,Salt,National Lampoon's Loaded Weapon 1,Seabiscuit,Standing Ovation,Final Destination 2
Bottle Rocket,K-PAX,Spellbound,Session 9,Secretary,One Flew Over the Cuckoo's Nest,Reservoir Dogs,Sling Blade,Instinct,Dumb and Dumberer: When Harry Met Lloyd,Chasing Papi
Albino Alligator,Never Again,Feast,Down to You,Triple 9,About Last Night,My Cousin Vinny,The Way of the Gun,The Host,Assault on Precinct 13,Keeping Up with the Steins
"Gandhi, My Father",Gandhi,Water,Hum To Mohabbat Karega,Melancholia,The Shadow,Character,Topsy-Turvy,Vicky Cristina Barcelona,Paa,Bobby Jones: Stroke of Genius
Standard Operating Procedure,Saints and Soldiers,Valley of the Wolves: Iraq,The Alamo,Air Force One,The Lord of the Rings: The Return of the King,The Infiltrator,Like Crazy,Ronin,The Railway Man,We're the Millers
Tucker and Dale vs Evil,The In Crowd,Porky's,The Torture Chamber of Dr. Sadism,Pay It Forward,Miracle,Moms' Night Out,Scream,Mad Hot Ballroom,"Run, Hide, Die",The Sting
"Lovely, Still",The Curious Case of Benjamin Button,The Giver,Self/less,The Believer,From a Whisper to a Scream,Nowhere Boy,Christmas with the Kranks,Madadayo,Beginners,The Lost Medallion: The Adventures of Billy Stone
Tycoon,My Boss's Daughter,Mary Reilly,Daylight,Ghost Rider,Annie Hall,Out Cold,Chasing Liberty,Shallow Hal,Love in the Time of Cholera,Dear John
Desert Blue,Cinco de Mayo: La Batalla,Anaconda,Ex Machina,Hotel Transylvania,Top Five,Blades of Glory,Dudley Do-Right,The Claim,Chill Factor,Win a Date with Tad Hamilton!
Decoys,Now Is Good,Rosemary's Baby,Losin' It,Porky's,Alexander's Ragtime Band,Arlington Road,The Shining,The Joneses,Steppin: The Movie,The Empire Strikes Back
The Visit,Brotherly Love,Karachi se Lahore,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Jeepers Creepers,Say It Isn't So,Dead Snow,Before I Go to Sleep,"Lovely, Still",Beerfest,Please Give
Redacted,The Tourist,Nacho Libre,Dallas Buyers Club,Motherhood,300,Meet the Spartans,Roll Bounce,Everything Put Together,Captive,"The Beast from 20,000 Fathoms"
Fascination,The Battle of Shaker Heights,Not Cool,Scott Walker: 30 Century Man,London to Brighton,Side Effects,The Valley of Decision,Scott Pilgrim vs. the World,The Santa Clause,EuroTrip,Ender's Game
Area 51,For Greater Glory - The True Story of Cristiada,Mortdecai,Blood and Chocolate,Jason Bourne,Da Sweet Blood of Jesus,Paul,Mercury Rising,On The Downlow,Scary Movie 4,The X Files
The Cottage,Jurassic Park III,Universal Soldier: The Return,Darkness,Sin City: A Dame to Kill For,Angel Eyes,Another Earth,Keeping Up with the Steins,Queen Crab,Caramel,Sahara
Dead Like Me: Life After Death,George of the Jungle,East Is East,It's a Wonderful Life,Blow,The Devil's Advocate,Scream,The Woman in Black,Funny People,Niagara,A Single Man
Farce of the Penguins,Run All Night,"You, Me and Dupree",Ghost,March of the Penguins,Madagascar: Escape 2 Africa,Snow Falling on Cedars,The Tuxedo,Bubble Boy,Madagascar 3: Europe's Most Wanted,A Dangerous Method
Flying By,Furry Vengeance,The Big Bounce,Grosse Pointe Blank,The Deep End of the Ocean,Glengarry Glen Ross,About Schmidt,Rock Star,Sunshine State,Ip Man 3,Peggy Sue Got Married
Rudderless,Death at a Funeral,When Did You Last See Your Father?,Lilya 4-ever,The Pacifier,Pollock,The Death and Life of Bobby Z,Dinner for Schmucks,Soul Men,Up Close & Personal,Domestic Disturbance
Henry & Me,Firewall,Highway,Last Action Hero,The Oh in Ohio,A Thousand Words,Below Zero,Jack Brooks: Monster Slayer,Jack the Giant Slayer,Patriot Games,Over Her Dead Body
Christmas Eve,The Namesake,The Nutcracker: The Untold Story,Black Christmas,Cloverfield,Bad Santa,School Daze,Madagascar: Escape 2 Africa,Unaccompanied Minors,Arthur Christmas,Love the Coopers
We Have Your Husband,The Perfect Game,Darling Companion,The Haunting in Connecticut 2: Ghosts of Georgia,Side Effects,Things We Lost in the Fire,The Betrayed,Find Me Guilty,Double Jeopardy,Witless Protection,Cellular
Dying of the Light,Criminal,Eden Lake,Friday the 13th Part III,Ballistic: Ecks vs. Sever,Shark Lake,Piranha 3D,Detention,Doug's 1st Movie,Shark Night,Friday the 13th: A New Beginning
Born Of War,Like Crazy,Novocaine,The Kingdom,Fifty Shades of Black,Loser,The House of the Devil,Pitch Perfect,Hayride,Pan's Labyrinth,The Algerian
Capricorn One,The Right Stuff,Gattaca,You Only Live Twice,The Twilight Saga: Breaking Dawn - Part 2,Space Pirate Captain Harlock,Red Planet,Lost in Space,Deck the Halls,Dr. No,Deep Impact
